Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,4.90074,20.40124,0.0,top
C2,0.1uF,C_0402_1005Metric,9.00074,7.60124,180.0,top
C3,0.1uF,C_0402_1005Metric,17.80074,17.30124,90.0,top
C4,220uF,CP_Elec_6.3x7.7,18.886738,22.953789,180.0,top
C5,0.1uF,C_0402_1005Metric,10.50074,14.00124,0.0,top
C6,10uF,C_0402_1005Metric,19.60074,15.10124,-90.0,top
C7,1uF,C_0402_1005Metric,18.20074,15.10124,180.0,top
C8,0.1uF,C_0402_1005Metric,18.000739,13.70124,0.0,top
C9,1uF,C_0402_1005Metric,18.00074,12.70124,180.0,top
C10,2.2uF,C_0402_1005Metric,13.0,5.30124,0.0,top
C11,2.2uF,C_0402_1005Metric,12.6,6.30124,0.0,top
D1,GREEN,LED_0402_1005Metric,8.50074,26.60124,0.0,top
D2,ORANGE,LED_0402_1005Metric,11.90074,27.70124,0.0,top
D3,RED,LED_0402_1005Metric,14.90074,27.70124,0.0,top
D4,BAT54S,SOT-23,15.494207,7.60922,30.0,top
D5,GREEN,LED_0402_1005Metric,8.515,27.70124,0.0,top
D6,24V,D_SOD-123F,20.2,5.50124,-150.0,top
D7,5.6V,D_SOD-923,10.5,5.90124,0.0,top
D8,5.6V,D_SOD-923,8.5,5.90124,180.0,top
D9,BAT54S,SOT-23,18.4,7.90124,-150.0,top
J3,Terminal Block 2P,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",25.0,14.70124,90.0,top
R1,20K,R_0402_1005Metric,6.90074,20.40124,180.0,top
R2,20K,R_0402_1005Metric,14.70074,20.40124,90.0,top
R3,62k,R_0402_1005Metric,12.50074,17.90124,180.0,top
R4,0R,R_0402_1005Metric,16.40074,17.90124,0.0,top
R5,20K,R_0402_1005Metric,13.10074,25.50124,-90.0,top
R6,20K,R_0402_1005Metric,14.10074,25.50124,-90.0,top
R7,180k,R_0402_1005Metric,18.40074,11.70124,180.0,top
R8,27K,R_0402_1005Metric,16.40074,18.90124,0.0,top
R9,4.3K,R_0402_1005Metric,14.40074,18.90124,0.0,top
R10,20K,R_0402_1005Metric,12.40074,18.90124,0.0,top
R11,82R,R_0402_1005Metric,16.70148,11.00124,-90.0,top
R12,20K,R_0402_1005Metric,12.40074,19.90124,0.0,top
R13,1K,R_0402_1005Metric,11.40074,7.60124,0.0,top
R14,1R,R_0805_2012Metric,16.0,4.70124,30.0,top
R15,4.7R,R_0603_1608Metric,9.9,2.90124,0.0,top
R16,4.7R,R_0603_1608Metric,9.9,4.50124,0.0,top
U1,CA-IS3720,SOIC-8_3.9x4.9mm_P1.27mm,7.70074,17.20624,0.0,top
U2,CA-IS3720,SOIC-8_3.9x4.9mm_P1.27mm,7.80074,10.80124,180.0,top
U3,74LVC2G14DW-7,SOT-363_SC-70-6,12.75074,22.25124,90.0,top
U4,MAX22088,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,14.40074,14.70124,0.0,top
