Comment,Designator,Footprint,LCSC
1K,R13,R_0402_1005Metric,C11702
1R,R14,R_0805_2012Metric,C131397
4.7R,"R15,R16",R_0603_1608Metric,C137705
5.6V,"D7,D8",D_SOD-923,C151980
0.1uF,"C1,C2,C3,C5,C8",C_0402_1005Metric,C1525
10uF,"C10,C11,C6",C_0402_1005Metric,C15525
GREEN,"D1,D2,D3,D5",LED_0402_1005Metric,C165980
180k,R7,R_0402_1005Metric,C25760
20K,"R1,R10,R12,R17,R18,R2,R5,R6",R_0402_1005Metric,C25765
27K,R8,R_0402_1005Metric,C25771
4.3K,R9,R_0402_1005Metric,C25899
82R,R11,R_0402_1005Metric,C2909389
220uF,C4,CP_Elec_6.3x7.7,C2918361
74LVC2G14DW-7,U3,SOT-363_SC-70-6,C362110
62k,R3,R_0402_1005Metric,C37825
CA-IS3720,"U1,U2",SOIC-8_3.9x4.9mm_P1.27mm,C428882
MAX22088,U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C5258925
1uF,"C7,C9",C_0402_1005Metric,C52923
0R,R4,R_0402_1005Metric,C60485
Terminal Block 2P,J3,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",C8387
24V,D6,D_SOD-123F,C908212
BAT54S,"D4,D9",SOT-23,C916425
PH_01x05,J1,PinHeader_1x05_P2.54mm_Vertical,
PinHeader 1x02,J2,PinHeader_1x02_P2.54mm_Vertical,
